#ID|OPERATOR_NAME|ARGUMENT1_EXPRESSION_ID|ARGUMENT2_EXPRESSION_ID
7|times|6|4
9|times|5|8
12|times|11|4
14|times|10|13
17|times|16|4
19|times|15|18
21|plus|19|20
22|plus|14|21
23|plus|9|22
5187|times|5186|4
5189|times|5185|5188
5191|times|5190|13
5195|times|3|5194
5197|times|5193|5196
5200|times|5198|5199
5203|times|3|5202
5205|times|5201|5204
5208|times|5206|5207
5209|plus|5205|5208
5210|plus|5200|5209
5211|plus|5197|5210
5212|plus|5192|5211
5213|plus|5191|5212
5214|plus|5189|5213
5216|times|5215|5188
5218|times|5217|13
5221|times|5220|5196
5223|times|5222|5199
5225|times|5224|5204
5227|times|5226|5207
5228|plus|5225|5227
5229|plus|5223|5228
5230|plus|5221|5229
5231|plus|5219|5230
5232|plus|5218|5231
5233|plus|5216|5232
5235|times|5234|13
5237|plus|5235|5236
5239|times|5238|13
5241|plus|5239|5240
5244|times|5243|4
5246|times|5242|5245
5248|times|5247|13
5250|plus|5248|5249
5251|plus|5246|5250
5253|times|5252|5245
5255|times|5254|13
5257|plus|5255|5256
5258|plus|5253|5257
5260|times|5259|8
5263|times|5262|4
5265|times|5261|5264
5267|plus|5265|5266
5268|plus|5260|5267
5270|times|5269|8
5272|times|5271|5264
5274|plus|5272|5273
5275|plus|5270|5274
5278|times|5277|4
5280|times|5276|5279
5283|times|5282|4
5285|times|5281|5284
5287|plus|5285|5286
5288|plus|5280|5287
5290|times|5289|5279
5292|times|5291|5284
5294|plus|5292|5293
5295|plus|5290|5294
5297|times|5296|8
5299|times|5298|13
5301|times|5300|18
5303|plus|5301|5302
5304|plus|5299|5303
5305|plus|5297|5304
5307|times|5306|8
5309|times|5308|13
5311|times|5310|18
5313|plus|5311|5312
5314|plus|5309|5313
5315|plus|5307|5314
5317|times|5316|8
5319|times|5318|13
5321|times|5320|18
5323|plus|5321|5322
5324|plus|5319|5323
5325|plus|5317|5324
5327|times|5326|8
5329|times|5328|13
5331|times|5330|18
5333|plus|5331|5332
5334|plus|5329|5333
5335|plus|5327|5334
5337|times|5336|8
5339|times|5338|13
5341|times|5340|18
5343|plus|5341|5342
5344|plus|5339|5343
5345|plus|5337|5344
5347|times|5346|8
5349|times|5348|13
5351|times|5350|18
5353|plus|5351|5352
5354|plus|5349|5353
5355|plus|5347|5354
5357|times|5356|5188
5360|times|5359|4
5362|times|5358|5361
5365|times|5364|4
5367|times|5363|5366
5370|times|5369|5196
5372|times|5371|5199
5373|plus|5370|5372
5374|plus|5368|5373
5375|plus|5367|5374
5376|plus|5362|5375
5377|plus|5357|5376
5379|times|5378|5188
5381|times|5380|5361
5383|times|5382|5366
5386|times|5385|5196
5388|times|5387|5199
5389|plus|5386|5388
5390|plus|5384|5389
5391|plus|5383|5390
5392|plus|5381|5391
5393|plus|5379|5392
5395|times|5394|5188
5397|times|5396|13
5400|times|5399|5196
5402|times|5401|5199
5404|times|5403|5204
5406|times|5405|5207
5407|plus|5404|5406
5408|plus|5402|5407
5409|plus|5400|5408
5410|plus|5398|5409
5411|plus|5397|5410
5412|plus|5395|5411
5414|times|5413|5188
5416|times|5415|13
5419|times|5418|5196
5421|times|5420|5199
5423|times|5422|5204
5425|times|5424|5207
5426|plus|5423|5425
5427|plus|5421|5426
5428|plus|5419|5427
5429|plus|5417|5428
5430|plus|5416|5429
5431|plus|5414|5430
5433|times|5432|5188
5436|times|5435|4
5438|times|5434|5437
5440|plus|5438|5439
5441|plus|5433|5440
5443|times|5442|8
5445|times|5444|13
5447|times|5446|18
5450|times|5449|5196
5452|times|5451|5199
5454|times|5453|5204
5456|times|5455|5207
5457|plus|5454|5456
5458|plus|5452|5457
5459|plus|5450|5458
5460|plus|5448|5459
5461|plus|5447|5460
5462|plus|5445|5461
5463|plus|5443|5462
5465|times|5464|8
5467|times|5466|13
5469|times|5468|18
5472|times|5471|5196
5474|times|5473|5199
5476|times|5475|5204
5478|times|5477|5207
5479|plus|5476|5478
5480|plus|5474|5479
5481|plus|5472|5480
5482|plus|5470|5481
5483|plus|5469|5482
5484|plus|5467|5483
5485|plus|5465|5484
5487|times|5486|8
5489|times|5488|13
5491|times|5490|18
5494|times|5493|5196
5496|times|5495|5199
5498|times|5497|5204
5500|times|5499|5207
5501|plus|5498|5500
5502|plus|5496|5501
5503|plus|5494|5502
5504|plus|5492|5503
5505|plus|5491|5504
5506|plus|5489|5505
5507|plus|5487|5506
5509|times|5508|5188
5512|times|5511|4
5514|times|5510|5513
5516|times|5515|13
5518|times|5517|5437
5520|plus|5518|5519
5521|plus|5516|5520
5522|plus|5514|5521
5523|plus|5509|5522
5525|times|5524|5188
5527|times|5526|5513
5529|times|5528|13
5531|times|5530|5437
5533|plus|5531|5532
5534|plus|5529|5533
5535|plus|5527|5534
5536|plus|5525|5535
5538|times|5537|5361
5541|times|5540|5196
5543|times|5542|5199
5545|times|5544|5204
5547|times|5546|5207
5548|plus|5545|5547
5549|plus|5543|5548
5550|plus|5541|5549
5551|plus|5539|5550
5552|plus|5538|5551
5554|times|5553|5361
5557|times|5556|5196
5559|times|5558|5199
5561|times|5560|5204
5563|times|5562|5207
5564|plus|5561|5563
5565|plus|5559|5564
5566|plus|5557|5565
5567|plus|5555|5566
5568|plus|5554|5567
5570|times|5569|8
5572|times|5571|13
5574|times|5573|18
5576|plus|5574|5575
5577|plus|5572|5576
5578|plus|5570|5577
5580|times|5579|8
5582|times|5581|13
5584|times|5583|18
5586|plus|5584|5585
5587|plus|5582|5586
5588|plus|5580|5587
5590|times|5589|8
5592|times|5591|13
5594|times|5593|18
5596|plus|5594|5595
5597|plus|5592|5596
5598|plus|5590|5597
5600|times|5599|8
5602|times|5601|13
5604|times|5603|18
5606|plus|5604|5605
5607|plus|5602|5606
5608|plus|5600|5607
5610|times|5609|8
5612|times|5611|13
5614|times|5613|18
5616|plus|5614|5615
5617|plus|5612|5616
5618|plus|5610|5617
5620|times|5619|8
5622|times|5621|13
5624|times|5623|18
5626|plus|5624|5625
5627|plus|5622|5626
5628|plus|5620|5627
5630|times|5629|8
5632|times|5631|13
5634|times|5633|18
5636|plus|5634|5635
5637|plus|5632|5636
5638|plus|5630|5637
5640|times|5639|8
5642|times|5641|13
5644|times|5643|18
5646|plus|5644|5645
5647|plus|5642|5646
5648|plus|5640|5647
5650|times|5649|8
5652|times|5651|13
5654|times|5653|18
5656|plus|5654|5655
5657|plus|5652|5656
5658|plus|5650|5657
5660|times|5659|5245
5662|times|5661|13
5664|plus|5662|5663
5665|plus|5660|5664
5667|times|5666|5245
5669|times|5668|13
5671|plus|5669|5670
5672|plus|5667|5671
5674|times|5673|13
5676|plus|5674|5675
5678|times|5677|13
5680|plus|5678|5679
5682|times|5681|5188
5684|times|5683|5513
5686|times|5685|13
5688|times|5687|5437
