# Model ID|Composite Family ID
# ETF-TEST
20|1
21|1
22|1
23|1
# ETF-WW
11|10
17|10
30|10
31|10
# ETF-EM
11|11
17|11
30|11
31|11
10|11
15|11
34|11
35|11
# ETF-EU
11|12
17|12
30|12
31|12
9|12
16|12
32|12
33|12
# ETF-APAC
11|13
17|13
30|13
31|13
38|13
39|13
# ETF-APACxJP
11|14
17|14
30|14
31|14
38|14
39|14
43|14
44|14
# ETF-US
11|15
17|15
30|15
31|15
20|15
21|15
22|15
23|15
# ETF-UK
11|16
17|16
30|16
31|16
9|16
16|16
32|16
33|16
28|16
29|16
53|16
54|16
# ETF-JP
11|17
17|17
30|17
31|17
38|17
39|17
26|17
27|17
55|17
56|17
# ETF-AU
11|18
17|18
30|18
31|18
38|18
39|18
43|18
44|18
24|18
25|18
51|18
52|18
# ETF-CA
11|19
17|19
30|19
31|19
18|19
19|19
49|19
50|19
# ETF-CN
11|20
17|20
30|20
31|20
10|20
15|20
34|20
35|20
38|20
39|20
43|20
44|20
40|20
41|20
57|20
58|20
