#serial_id|rm_id|revision|from_dt|thru_dt|distribute

# AU2 Research Models
-115|-20|1|1995-01-01|2999-12-31|0
-116|-20|2|1995-01-01|2999-12-31|0
-117|-20|3|1995-01-01|2999-12-31|0
-118|-20|4|1995-01-01|2999-12-31|0
-119|-20|5|1995-01-01|2999-12-31|0
-120|-20|6|1995-01-01|2999-12-31|0
-121|-20|7|1995-01-01|2999-12-31|0
-122|-20|8|1995-01-01|2999-12-31|0
-123|-20|9|1995-01-01|2999-12-31|0
-124|-20|10|1995-01-01|2999-12-31|0
-125|-20|11|1995-01-01|2999-12-31|0
-126|-20|12|1995-01-01|2999-12-31|0
-127|-20|13|1995-01-01|2999-12-31|0
-128|-20|14|1995-01-01|2999-12-31|0

# US3 Macro Research Models
-40501|-4050|1|1980-01-01|2999-12-31|0
-40502|-4050|2|1980-01-01|2999-12-31|0
-40503|-4050|3|1980-01-01|2999-12-31|0
-40504|-4050|4|1980-01-01|2999-12-31|0
#
-40701|-4070|1|1980-01-01|2999-12-31|0
-40702|-4070|2|1980-01-01|2999-12-31|0
-40703|-4070|3|1980-01-01|2999-12-31|0
-40704|-4070|4|1980-01-01|2999-12-31|0

# US3 Research Models
-110|-18|1|1980-01-01|2999-12-31|0
-111|-18|2|1980-01-01|2999-12-31|0
-112|-18|3|1980-01-01|2999-12-31|0
-113|-18|4|1980-01-01|2999-12-31|0
-114|-18|5|1980-01-01|2999-12-31|0
-186|-18|6|1980-01-01|2999-12-31|0
-187|-18|7|1980-01-01|2999-12-31|0
-188|-18|8|1980-01-01|2999-12-31|0
-189|-18|9|1980-01-01|2999-12-31|0
-190|-18|10|1980-01-01|2999-12-31|0
-191|-18|11|1980-01-01|2999-12-31|0
-192|-18|12|1980-01-01|2999-12-31|0
-193|-18|13|1980-01-01|2999-12-31|0
-194|-18|14|1980-01-01|2999-12-31|0
-195|-18|15|1980-01-01|2999-12-31|0
-196|-18|16|1980-01-01|2999-12-31|0
-197|-18|17|1980-01-01|2999-12-31|0
-198|-18|18|1980-01-01|2999-12-31|0

# WWxUS Research Models
-101|-17|1|1999-01-01|2999-12-31|0
-102|-17|2|1999-01-01|2999-12-31|0

# NA Research Models
-91|-16|1|1999-01-01|2999-12-31|0
-92|-16|2|1999-01-01|2999-12-31|0
-200|-16|3|1999-01-01|2999-12-31|0
-93|-16|4|1999-01-01|2999-12-31|0
-201|-16|5|1999-01-01|2999-12-31|0

# CN Research Models
-81|-15|1|1999-01-01|2999-12-31|0
-82|-15|2|1999-01-01|2999-12-31|0

# CA Research Models
-71|-13|1|1998-12-31|2999-12-31|0
-72|-13|2|1998-12-31|2999-12-31|0

# AU Research Models
-61|-8|1|1999-01-01|2999-12-31|0
-62|-8|2|1999-01-01|2999-12-31|0

# Currency Research Models
-51|-10|1|1980-01-01|2999-12-31|0
-52|-10|2|1980-01-01|2999-12-31|0
-53|-12|1|1980-01-01|2999-12-31|0
-54|-12|2|1980-01-01|2999-12-31|0

# EM Research Models
-41|-9|1|1999-01-01|2999-12-31|0
-42|-9|2|1999-01-01|2999-12-31|0
-43|-9|3|1999-01-01|2999-12-31|0

# APAC Research Models
-31|-14|1|1999-01-01|2999-12-31|0
-32|-14|2|1999-01-01|2999-12-31|0

# EU Research Models
-21|-7|1|1996-12-31|2999-12-31|0
-22|-7|2|1997-01-01|2999-12-31|0
-23|-7|3|1997-01-01|2999-12-31|0

# WW Research Models
-11|-6|1|1997-01-01|2999-12-31|0
