axid,name,shortname,active,use_level,use_shock,source,type,freq,has_trend,needs_sa,deflator,notes,min_dt,is_tr,is_yield,is_spread,is_price,is_ex_ret
M001000044,"COML BANK ASSETS - COMMERCIAL and INDL LOANS (BREAK ADJ, SAAR)",com_assets_break_adj,0,0,1,macroecon,lin,M,0,0,,,1/1/1985,0,0,0,0,0
M001000045,COMMERCIAL BANK ASSETS - COMMERCIAL and INDUSTRIAL LOANS,com_assets_com_ind,0,0,1,macroecon,geom,M,0,0,,,1/1/1985,0,0,0,0,0
M001000046,COMMERCIAL BANK ASSETS - LOANS and LEASES IN BANK CREDIT,com_assets_loans_lease,0,0,1,macroecon,geom,M,0,0,,,1/1/1985,0,0,0,0,0
M001000047,CONSTRUCTION EXPENDITURES - TOTAL (AR),constr_exp,0,0,1,macroecon,geom,M,0,0,,,1/1/1985,0,0,0,0,0
M001000051,CPI - ALL URBAN SAMPLE: ALL ITEMS,cpi_urban_sample,0,0,1,macroecon,geom,M,0,0,,,1/1/1985,0,0,0,0,0
M001000060,EXPORTS F.A.S.,exports_fas,0,0,1,macroecon,geom,M,0,0,,,1/1/1985,0,0,0,0,0
M001000062,FEDERAL FUNDS RATE (MONTHLY AVERAGE),fed_funds_rate,0,0,1,macroecon,percent,M,0,0,,,1/1/1985,0,0,0,0,0
M001000068,GOODS AND SERVICES BALANCE ON A BALANCE OF PAYMENTS BASIS,goods_srvs_balance,0,0,1,macroecon,geom_diff,M,0,0,,,1/1/1985,0,0,0,0,0
M001000058,EXISTING HOME SALES: SINGLE-FAMILY and CONDO (AR),home_sales_single,0,0,1,macroecon,geom,M,0,0,,,1/1/1985,0,0,0,0,0
M001000090,NEW PRIVATE HOUSING UNITS AUTHORIZED BY BUILDING PERMIT (AR),hous_permit,0,0,1,macroecon,lin,M,0,0,,,1/1/1985,0,0,0,0,0
M001000104,SALES OF NEW ONE FAMILY HOUSES (AR),house_sales_single,0,0,1,macroecon,geom,M,0,0,,,1/1/1985,0,0,0,0,0
M001000091,NEW PRIVATE HOUSING UNITS STARTED (AR),houst_private,0,0,1,macroecon,lin,M,0,0,,,1/1/1985,0,0,0,0,0
M001000071,IMPORTS F.A.S.,imports_fas,0,0,1,macroecon,geom,M,0,0,,,1/1/1985,0,0,0,0,0
M001000081,MONEY SUPPLY M1,m1,0,0,0,macroecon,geom,M,0,0,,,1/1/1985,0,0,0,0,0
M001000082,MONEY SUPPLY M2,m2,0,0,0,macroecon,geom,M,0,0,,,1/1/1985,0,0,0,0,0
M001000083,MONEY SUPPLY M2 (BCI 106),m2_alt,0,0,0,macroecon,geom,M,0,0,,,1/1/1985,0,0,0,0,0
M000010151,SandP/TSX COMPOSITE INDEX,sp_tsx_composite,0,0,1,macroidx,geom,D,0,0,,,1/1/1985,0,0,0,0,0
M001000105,TERMS OF TRADE REBASED TO 1975=100,terms_of_trade,0,0,1,macroecon,lin,M,0,0,,,1/1/1985,0,0,0,0,0
M001000117,VISIBLE TRADE BALANCE F.A.S.-F.A.S.,visible_trade_balance,0,0,0,macroecon,geom,M,0,0,,,1/1/1985,0,0,0,0,0
M001000100,PRIME RATE CHARGED BY BANKS (MONTH AVG),prime_rate,0,0,0,macroecon,percent,M,0,0,,cat 3,1/1/1985,0,0,0,0,0
M000100068,SandP GSCI Agriculture Excess Return,gsci_agri_er,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100065,SandP GSCI Agri+Livstk Excess Return,gsci_agri_livstk_er,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100066,SandP GSCI Agri+Livstk Index Spot,gsci_agri_livstk_spot,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000100067,SandP GSCI Agri+Livstk Total Return,gsci_agri_livstk_tr,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100163,Standard and Poors Goldman Sachs Commodity Index(GSCI) Agriculturl Spot,gsci_agri_spot,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000100164,Standard and Poors Goldman Sachs Commodity Index(GSCI) Agriculturl Total Return,gsci_agri_tr,0,1,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100165,Standard and Poors Goldman Sachs Commodity Index Commodity Spot,gsci_cmdy_spot,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,1,0
M000100089,SandP GSCI Energy Excess Return,gsci_energy_er,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100091,SandP GSCI Energy Total Return,gsci_energy_tr,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100092,SandP GSCI Gold Excess Return,gsci_gold_er,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100094,SandP GSCI Gold Total Return,gsci_gold_tr,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100122,SandP GSCI Non Prec. Excess Return,gsci_non_prec_er,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100116,SandP GSCI Non-Energy Excess Return,gsci_nonenergy_er,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100118,SandP GSCI Non-Energy Total Return,gsci_nonenergy_tr,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
M000100133,SandP GSCI Precious Metal Exc. Ret.,gsci_prec_metal_er,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,0
M000100139,SandP GSCI Silver Excess Return,gsci_silver_er,0,0,1,macrods,geom,D,0,0,,,1/2/1985,0,0,0,0,1
M000100141,SandP GSCI Silver Total Return,gsci_silver_tr,0,0,1,macrods,geom,D,0,0,,,1/2/1985,1,0,0,0,0
